date,start time,peak time,end time,Location,flare type,class,AR_Number,MWC,Z value,P value,C value,MC,Area,DSN,year
3/24/1983,52,53,127,S12W,C,C0.7,4121,B,B,X,O,BXO,60,80,1983
3/30/1983,30,36,52,S17E,C,C0.5,4127,B,D,S,O,DSO,20,72,1983
4/2/1983,133,136,144,S16W,C,C1.4,4077,BD,D,K,C,DKC,70,135,1983
4/5/1983,1230,1235,1241,S10E,C,C1.0,4165,B,D,A,O,DAO,40,114,1983
4/5/1983,5,6,18,S03W,C,C4.2,4157,B,D,K,O,DKO,70,114,1983
4/6/1983,12,46,137,S10E,C,C2.0,4201,BG,F,K,I,FKI,60,98,1983
4/11/1983,551,552,556,S18E,B,B5.6,4354,B,C,S,O,CSO,30,70,1983
4/22/1983,1734,1734,1740,S11E,C,C1.3,4154,B,D,S,O,DSO,80,113,1983
4/24/1983,2041,2044,2050,S12E,C,C1.1,4150,BG,D,K,O,DKO,30,125,1983
4/24/1983,38,57,106,S16E,C,C2.1,4156,B,D,S,O,DSO,30,125,1983
4/25/1983,433,441,518,S04E,C,C6.3,4157,B,E,A,O,EAO,20,167,1983
4/25/1983,713,722,757,S15E,C,C2.9,4156,B,D,A,O,DAO,10,167,1983
4/26/1983,700,703,716,N11W,C,C1.4,4151,B,D,S,O,DSO,70,160,1983
4/27/1983,646,649,715,S09W,C,C1.8,4150,GD,C,A,X,CAX,30,171,1983
5/5/1983,1144,1151,1208,S14E,C,C1.8,4168,B,C,A,O,CAO,40,127,1983
5/6/1983,1345,1348,1353,S08E,C,C2.7,4204,B,D,H,O,DHO,50,111,1983
5/7/1983,246,247,255,S08W,C,C1.1,4227,B,C,R,O,CRO,20,106,1983
5/8/1983,337,338,352,S09W,C,C1.7,4263,BG,F,H,I,FHI,70,106,1983
5/10/1983,1458,1506,1716,N07E,M,M2.0,4328,BG,F,K,O,FKO,30,84,1983
5/11/1983,239,239,242,S10E,B,B3.0,4355,B,C,S,O,CSO,70,90,1983
5/12/1983,1553,1553,1559,S13E,B,B5.7,4372,B,C,R,O,CRO,30,23,1983
5/15/1983,329,336,351,S11W,C,C2.1,4172,BG,D,K,I,DKI,90,174,1983
5/15/1983,2254,2256,2304,S09W,C,C1.9,4176,B,D,S,O,DSO,50,174,1983
5/20/1983,24,47,119,N17E,C,C4.5,4183,BD,D,K,C,DKC,10,140,1983
5/25/1983,356,400,422,N18W,C,C3.6,4183,BG,C,H,O,CHO,60,131,1983
5/28/1983,523,524,535,S17W,C,C1.8,4187,B,D,A,I,DAI,50,91,1983
5/29/1983,1607,1615,1625,S09E,B,B9.8,4196,A,H,A,X,HAX,40,118,1983
6/1/1983,34,34,100,S14E,C,C1.0,4048,B,D,A,O,DAO,10,141,1983
6/5/1983,1055,1103,1121,S11W,C,C1.8,4165,B,D,S,O,DSO,40,118,1983
6/6/1983,22,43,122,S10W,C,C5.0,4201,BG,F,K,I,FKI,20,123,1983
